,,rho_p,pval_p,rho_s,pval_s,D2,imgN,label,layer,img_space,monkey,date,n_images_total,n_units_total
cnn_features_pca64,RidgeCV,0.4062703025045036,0.0,0.3345774273614186,0.0,0.04043904358313314,1072.0,MaoDan_240815,,MaoDan_240815,MaoDan,240815,1072,250
cnn_features_pca128,RidgeCV,0.4252021918981654,0.0,0.3567279015388517,0.0,0.057754084862804825,1072.0,MaoDan_240815,,MaoDan_240815,MaoDan,240815,1072,250
cnn_features_pca256,RidgeCV,0.4252342731045016,0.0,0.3567651477946253,0.0,0.05778198205022131,1072.0,MaoDan_240815,,MaoDan_240815,MaoDan,240815,1072,250
cnn_features_sp_avg,RidgeCV,0.4252810475212565,0.0,0.35682029347347766,0.0,0.05782389613129293,1072.0,MaoDan_240815,,MaoDan_240815,MaoDan,240815,1072,250
