,,rho_p,pval_p,rho_s,pval_s,D2,imgN,label,layer,img_space,monkey,date,n_images_total,n_units_total
cnn_features_pca64,RidgeCV,0.7202220147922804,0.0,0.5538206859020961,0.0,0.04027704386897381,1072.0,JianJian_240709,,JianJian_240709,JianJian,240709,1072,250
cnn_features_pca128,RidgeCV,0.726350569269072,0.0,0.5639756909117329,0.0,0.05737415784733553,1072.0,JianJian_240709,,JianJian_240709,JianJian,240709,1072,250
cnn_features_pca256,RidgeCV,0.7263600945626335,0.0,0.5639931731427649,0.0,0.05740196221638021,1072.0,JianJian_240709,,JianJian_240709,JianJian,240709,1072,250
cnn_features_sp_avg,RidgeCV,0.7263749613858432,0.0,0.564019154063601,0.0,0.057443930037126716,1072.0,JianJian_240709,,JianJian_240709,JianJian,240709,1072,250
