,,rho_p,pval_p,rho_s,pval_s,D2,imgN,label,layer,img_space,monkey,date,n_images_total,n_units_total
cnn_features_pca64,RidgeCV,0.4108105629960942,0.0,0.35337444469889817,0.0,0.041327654887981916,1072.0,TuTu_240724,,TuTu_240724,TuTu,240724,1072,250
cnn_features_pca128,RidgeCV,0.42860675294317957,0.0,0.3707546027537522,0.0,0.057561957517598655,1072.0,TuTu_240724,,TuTu_240724,TuTu,240724,1072,250
cnn_features_pca256,RidgeCV,0.4286379783170293,0.0,0.37078668770066514,0.0,0.05759058501915191,1072.0,TuTu_240724,,TuTu_240724,TuTu,240724,1072,250
cnn_features_sp_avg,RidgeCV,0.4286841261248129,0.0,0.370833146721195,0.0,0.05763218956307814,1072.0,TuTu_240724,,TuTu_240724,TuTu,240724,1072,250
